authors,publication_date,research_orgs,product_type,article_type,journal_name
"""Pastina, Barbara [Posiva Oy, Olkiluoto, Eurajoki (Finland)] (ORCID:0000000348024805)"",""LaVerne, Jay A. [Univ. of Notre Dame, IN (United States)] (ORCID:0000000283837476)""",2021-09-15T00:00:00Z,"""Univ. of Notre Dame, IN (United States)""",Journal Article,Accepted Manuscript,Applied Sciences
"""Griffith, George W [Idaho National Laboratory] (ORCID:0000000219682246)""",2021-12-09T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Technical Report,,
"""Wilfong, Walter C. [National Energy Technology Lab. (NETL), Pittsburgh, PA (United States)]"",""Ji, Tuo [National Energy Technology Lab. (NETL), Pittsburgh, PA (United States)]"",""Duan, Yuhua [National Energy Technology Lab. (NETL), Pittsburgh, PA (United States)]"",""Shi, Fan [National Energy Technology Lab. (NETL), Pittsburgh, PA (United States)]"",""Wang, Qiuming [National Energy Technology Lab. (NETL), Pittsburgh, PA (United States)]"",""Gray, McMahan L. [National Energy Technology Lab. (NETL), Pittsburgh, PA (United States)]""",2021-10-30T00:00:00Z,"""National Energy Technology Laboratory (NETL), Pittsburgh, PA, Morgantown, WV, and Albany, OR (United States)""",Journal Article,Accepted Manuscript,Journal of Hazardous Materials
"""Singh, Balraj [McMaster Univ., Hamilton, ON (Canada)]"",""Chen, Jun [Michigan State Univ., East Lansing, MI (United States). National Superconducting Cyclotron Lab.]""",2021-12-06T00:00:00Z,"""Michigan State Univ., East Lansing, MI (United States)""",Journal Article,Accepted Manuscript,Nuclear Data Sheets
"""Dong, Wenming [Lawrence Berkeley National Laboratory] (ORCID:0000000320748887)"",""Beutler, Curtis"",""Brown, Wendy [Bugs Unlimited, LLC] (ORCID:0000000272371797)"",""Newman, Alexander"",""O'Ryan, Dylan [Lawrence Berkeley National Laboratory] (ORCID:0000000217939781)"",""Versteeg, Roelof [Subsurface Insights]"",""Williams, Kenneth [Lawrence Berkeley National Laboratory] (ORCID:0000000235681155)"",""Varadharajan, Charuleka [Lawrence Berkeley National Laboratory] (ORCID:0000000241423224)"",""Crystal-Ornelas, Robert [Lawrence Berkeley National Laboratory] (ORCID:0000000263391139)""",2022-01-01T00:00:00Z,"""Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) (United States)"",""Watershed Function SFA""",Dataset,,
"""Hawkins, Michelle Camereon [Mission Support and Test Services, LLC (MSTS), North Las Vegas, NV (United States)]"",""Thomas, Sara A [Mission Support and Test Services, LLC (MSTS), North Las Vegas, NV (United States)]""",2022-01-01T00:00:00Z,"""Nevada National Security Site/Mission Support and Test Services LLC (NNSS/MSTS), North Las Vegas, NV (United States)""",Journal Article,,"Materials Science and Engineering: A 
https://www.journals.elsevier.com/materials-science-and-engineering-a"
"""Lang, E. (ORCID:0000000151361875)"",""Dennett, C. A. (ORCID:0000000329899550)"",""Madden, N."",""Hattar, K.""",2021-11-24T00:00:00Z,"""Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)""",Journal Article,Published Article,"JOM. Journal of the Minerals, Metals & Materials Society"
"""Smith, Curtis L [Idaho National Laboratory] (ORCID:0000000232479728)"",""Vedros, Kurt G [Idaho National Laboratory] (ORCID:0000000187152338)"",""Orrell, Stanley Andrew [Idaho National Laboratory]"",""Christensen, Jason Albert [Idaho National Laboratory]"",""Youngblood III, Robert W [Idaho National Laboratory] (ORCID:0000000227476813)"",""Hallbert, Bruce P [Idaho National Laboratory] (ORCID:0000000241337625)""",2021-11-24T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Technical Report,,
"""Mikkelson, Daniel Mark [Idaho National Laboratory] (ORCID:0000000226236279)"",""Shigrekar, Amey [Idaho National Laboratory]"",""Frick, Konor L [Idaho National Laboratory] (ORCID:0000000234974415)"",""Bragg-Sitton, Shannon M [Idaho National Laboratory] (ORCID:0000000258866398)""",2021-12-16T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Technical Report,,
"""Jin, Zehua [Inner Mongolia Univ., Hohhot (China). Key Laboratory of Coal Chemistry; Clemson Univ., SC (United States)]"",""Xu, Chang [Inner Mongolia Univ., Hohhot (China). Key Laboratory of Coal Chemistry]"",""Zhou, Tingting [Inner Mongolia Univ., Hohhot (China). Key Laboratory of Coal Chemistry]"",""Hu, Jianan [Inner Mongolia Univ., Hohhot (China). Key Laboratory of Coal Chemistry]"",""Hu, Ruisheng [Inner Mongolia Univ., Hohhot (China). Key Laboratory of Coal Chemistry]"",""Meng, He [Inner Mongolia Univ., Hohhot (China). Key Laboratory of Coal Chemistry]"",""Shen, Jian [Xiangtan Univ. (China). Hunan Engineering Laboratory for Complex Heavy Metal Wastewater Purification and Application Technology]"",""Yang, Ming [Clemson Univ., SC (United States)]"",""Motkuri, Radha Kishan [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000220794798)""",2021-10-19T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Accepted Manuscript,Applied Surface Science
"""Deblonde, Gauthier J.-P. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)] (ORCID:0000000208258714)"",""Mattocks, Joseph A. [Pennsylvania State Univ., University Park, PA (United States)] (ORCID:0000000315410187)"",""Dong, Ziye [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)] (ORCID:0000000204198523)"",""Wooddy, Paul T. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)] (ORCID:0000000223168143)"",""Cotruvo, Joseph A. [Pennsylvania State Univ., University Park, PA (United States)] (ORCID:0000000342438257)"",""Zavarin, Mavrik [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)] (ORCID:0000000224266706)""",2021-10-20T00:00:00Z,"""Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)""",Journal Article,Accepted Manuscript,Science Advances
"""Sweeney, Frank [Y-12 National Security Complex, Oak Ridge, TN (United States)]"",""Jordan, Spencer [Y-12 National Security Complex, Oak Ridge, TN (United States)]"",""Belk, Chris [Y-12 National Security Complex, Oak Ridge, TN (United States)]""",2021-11-30T00:00:00Z,"""Oak Ridge Y-12 Plant (Y-12), Oak Ridge, TN (United States)""",Conference,,
"""Hickman, John [University of Kentucky - Kentucky Geological Survey]"",""Harris, David [University of Kentucky - Kentucky Geological Survey]"",""Bowersox, J. Richard [University of Kentucky - Kentucky Geological Survey]"",""Carpenter, Seth [University of Kentucky - Kentucky Geological Survey]"",""Eble, Cortland [University of Kentucky - Kentucky Geological Survey]"",""Weislogel, Amy [West Virginia University – Department of Geology & Geography]"",""Mohaghegh, Shahab [West Virginia University - Petroleum and Natural Gas Engineering]"",""Dinterman, Philip [West Virginia Geological and Economic Survey]"",""Royce, Bethany [West Virginia Geological and Economic Survey]""",2021-12-21T00:00:00Z,"""University of Kentucky Research Foundation""",Technical Report,,
"""Kmak, Kelly N. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""Despotopulos, John D. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]""",2021-09-25T00:00:00Z,"""Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)""",Journal Article,Accepted Manuscript,Journal of Radioanalytical and Nuclear Chemistry
"""Mouser, Megan D. [Univ. of Tennessee, Knoxville, TN (United States)] (ORCID:0000000329226997)"",""Dygert, Nicholas [Univ. of Tennessee, Knoxville, TN (United States)] (ORCID:0000000256308739)"",""Anzures, Brendan A. [Brown Univ., Providence, RI (United States)] (ORCID:0000000255491631)"",""Grambling, Nadine L. [Univ. of Tennessee, Knoxville, TN (United States)] (ORCID:0000000216586224)"",""Hrubiak, Rostislav [Argonne National Lab. (ANL), Argonne, IL (United States)]"",""Kono, Yoshio [Carnegie Inst. of Washington, Washington, DC (United States); Now at Ehime Univ., Matsuyama (Japan)]"",""Shen, Guoyin [Argonne National Lab. (ANL)]"",""Parman, Stephen W. [Brown Univ., Providence, RI (United States)] (ORCID:0000000275238684)""",2021-10-27T00:00:00Z,"""Argonne National Lab. (ANL), Argonne, IL (United States)""",Journal Article,Accepted Manuscript,Journal of Geophysical Research. Planets
"""Shropshire, David E [Idaho National Laboratory]"",""Bell, Christi [University of Alaska Anchorage Business Enterprise Institute]"",""Allen, Todd [Nuclear Engineering and Radiological Sciences at the University of Michigan]"",""Craig, Michael [School for Environment and Sustainability, University of Michigan]"",""Righetti, Tara [University of Wyoming]"",""Parsons, John [MIT Sloan School of Management]"",""Araújo, Kathleen [Energy Policy Institute – Center for Advanced Energy Studies and Boise State University]"",""Aumeier, Steven E [Idaho National Laboratory] (ORCID:0000000179973136)""",2021-11-30T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Technical Report,,
"""Surbella, Robert G. [BATTELLE (PACIFIC NW LAB)] (ORCID:0000000311109506)"",""Reilly, Dallas D. [BATTELLE (PACIFIC NW LAB)]"",""Sinnwell, Michael A. [BATTELLE (PACIFIC NW LAB)] (ORCID:0000000267338335)"",""Mcnamara, Bruce K. [Battelle Washington Office, Washington, D.C.]"",""Sweet, Lucas E. [BATTELLE (PACIFIC NW LAB)] (ORCID:0000000260707521)"",""Schwantes, Jon M. [BATTELLE (PACIFIC NW LAB)] (ORCID:0000000322728468)"",""Thallapally, Praveen K. [BATTELLE (PACIFIC NW LAB)] (ORCID:0000000178144467)""",2021-09-29T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,,ACS Applied Materials & Interfaces
"""Piersa-Siłkowska, M. (ORCID:0000000258772818)"",""Korgul, A."",""Benito, J."",""Fraile, L. M."",""Adamska, E."",""Andreyev, A. N."",""Álvarez-Rodríguez, R."",""Barzakh, A. E."",""Benzoni, G."",""Berry, T."",""Borge, M. G."",""Carmona, M."",""Chrysalidis, K."",""Correia, J. G."",""Costache, C."",""Cubiss, J. G."",""Day Goodacre, T."",""De Witte, H."",""Fedorov, D. V."",""Fedosseev, V. N."",""Fernández-Martínez, G."",""Fijałkowska, A."",""Fynbo, H."",""Galaviz, D."",""Galve, P."",""García-Díez, M."",""Greenlees, P. T."",""Grzywacz, R."",""Harkness-Brennan, L. J."",""Henrich, C."",""Huyse, M."",""Ibáñez, P."",""Illana, A."",""Janas, Z."",""Johnston, K."",""Jolie, J."",""Judson, D. S."",""Karanyonchev, V."",""Kicińska-Habior, M."",""Konki, J."",""Koszuk, Ł."",""Kurcewicz, J."",""Lazarus, I."",""Lică, R."",""López-Montes, A."",""Mach, H."",""Madurga, M."",""Marroquín, I."",""Marsh, B."",""Martínez, M. C."",""Mazzocchi, C."",""Miernik, K."",""Mihai, C."",""Mărginean, N."",""Mărginean, R."",""Negret, A."",""Nácher, E."",""Ojala, J."",""Olaizola, B."",""Page, R. D."",""Pakarinen, J."",""Pascu, S."",""Paulauskas, S. V."",""Perea, A."",""Pucknell, V."",""Rahkila, P."",""Raison, C."",""Rapisarda, E."",""Rezynkina, K."",""Rotaru, F."",""Rothe, S."",""Rykaczewski, K. P."",""Régis, J. -M."",""Schomacker, K."",""Siłkowski, M."",""Simpson, G."",""Sotty, C."",""Stan, L."",""Stănoiu, M."",""Stryjczyk, M."",""Sánchez-Parcerisa, D."",""Sánchez-Tembleque, V."",""Tengblad, O."",""Turturică, A."",""Udías, J. M."",""Van Duppen, P."",""Vedia, V."",""Villa, A."",""Viñals, S."",""Wadsworth, R."",""Walters, W. B."",""Warr, N."",""Wilkins, S. G.""",2021-10-26T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Physical Review C
"""Paradis, Charles J. [Department of Earth and Planetary Sciences University of Tennessee  Knoxville TN, Biosciences Division Oak Ridge National Laboratory  Oak Ridge TN] (ORCID:0000000210723988)"",""Miller, John I. [Biosciences Division Oak Ridge National Laboratory  Oak Ridge TN, Bredesen Center University of Tennessee  Knoxville TN]"",""Moon, Ji‐Won [Biosciences Division Oak Ridge National Laboratory  Oak Ridge TN]"",""Spencer, Sarah J. [Biological Engineering Department Massachusetts Institute of Technology  Cambridge MA]"",""Lui, Lauren M. [Environmental Genomics and Systems Biology Division Lawrence Berkeley National Laboratory  Berkeley CA]"",""Van Nostrand, Joy D. [Institute for Environmental Genomics, Department of Microbiology and Plant Biology and School of Civil Engineering and Environmental Sciences, University of Oklahoma  Norman OK]"",""Ning, Daliang [Institute for Environmental Genomics, Department of Microbiology and Plant Biology and School of Civil Engineering and Environmental Sciences, University of Oklahoma  Norman OK]"",""Steen, Andrew D. [Department of Earth and Planetary Sciences University of Tennessee  Knoxville TN, Department of Microbiology University of Tennessee  Knoxville TN]"",""McKay, Larry D. [Department of Earth and Planetary Sciences University of Tennessee  Knoxville TN]"",""Arkin, Adam P. [Environmental Genomics and Systems Biology Division Lawrence Berkeley National Laboratory  Berkeley CA, Department of Bioengineering University of California  Berkeley CA]"",""Zhou, Jizhong [Institute for Environmental Genomics, Department of Microbiology and Plant Biology and School of Civil Engineering and Environmental Sciences, University of Oklahoma  Norman OK]"",""Alm, Eric J. [Biological Engineering Department Massachusetts Institute of Technology  Cambridge MA]"",""Hazen, Terry C. [Department of Earth and Planetary Sciences University of Tennessee  Knoxville TN, Biosciences Division Oak Ridge National Laboratory  Oak Ridge TN, Bredesen Center University of Tennessee  Knoxville TN, Department of Bioengineering University of California  Berkeley CA, Department of Civil and Environmental Sciences University of Tennessee  Knoxville TN] (ORCID:0000000225369993)""",2021-09-22T00:00:00Z,"""Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)""",Journal Article,Published Article,Ground Water
"""Baker, Jason Lee [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000307546519)"",""White, Joshua Taylor [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000244092264)"",""Chen, Aiping [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000326392797)"",""Ulrich, Tasheima Lixona [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:000000029543245X)"",""Roback, Robert Clifford [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000327481580)"",""Xu, Hongwu [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000207936923)""",2021-09-04T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)""",Journal Article,Accepted Manuscript,Journal of Nuclear Materials
"""Zhang, Wen-Jing [Univ. of Utah, Salt Lake City, UT (United States)]"",""Demireva, Maria [Univ. of Utah, Salt Lake City, UT (United States); Sandia National Lab. (SNL-CA), Livermore, CA (United States)]"",""Kim, JungSoo [Univ. of Utah, Salt Lake City, UT (United States)]"",""de Jong, Wibe A. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)] (ORCID:0000000271148315)"",""Armentrout, P. B. [Univ. of Utah, Salt Lake City, UT (United States)] (ORCID:0000000329536039)""",2021-09-02T00:00:00Z,"""Univ. of Utah, Salt Lake City, UT (United States)"",""Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)""",Journal Article,Accepted Manuscript,"Journal of Physical Chemistry. A, Molecules, Spectroscopy, Kinetics, Environment, and General Theory"
"""Scheele, Randall D. [PNNL]"",""Hanson, Brady D. [BATTELLE (PACIFIC NW LAB)]"",""Casella, Andrew M. [BATTELLE (PACIFIC NW LAB)] (ORCID:0000000240536593)""",2021-08-15T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,,Journal of Nuclear Materials
"""Agca, Can [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)] (ORCID:0000000314277812)"",""McMurray, Jake W. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)] (ORCID:0000000151113054)""",2021-09-04T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Chemical Engineering Science
"""Favorite, Jeffrey A. [Los Alamos National Laboratory, Computational Physics (X-CP) Division, MS F663, Los Alamos, New Mexico 87545]""",2021-09-22T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)""",Journal Article,Published Article,Nuclear Science and Engineering
"""Nguyen, Manh Thuong [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000319970368)"",""Rousseau, Roger J. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000319470478)"",""Paviet, Patricia D. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Glezakou, Vassiliki-Alexandra [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000160287021)""",2021-09-08T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Accepted Manuscript,ACS Applied Materials and Interfaces
"""Bertolli, M. G. [Y-12 National Security Complex, Oak Ridge, TN (United States)]"",""Shannon, M. C. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)]""",2021-12-17T00:00:00Z,"""Oak Ridge Y-12 Plant (Y-12), Oak Ridge, TN (United States)""",Conference,,
"""Cole, James""",2021-12-01T00:00:00Z,"""Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)""",Technical Report,,
"""Wang, Chao [Massachusetts Inst. of Technology (MIT), Cambridge, MA (United States); Tongji University, Shanghai (China)]"",""Helal, Ahmed S. [Massachusetts Inst. of Technology (MIT), Cambridge, MA (United States)]"",""Wang, Ziqiang [Massachusetts Inst. of Technology (MIT), Cambridge, MA (United States)]"",""Zhou, Jian [Massachusetts Inst. of Technology (MIT), Cambridge, MA (United States)]"",""Yao, Xiahui [Massachusetts Inst. of Technology (MIT), Cambridge, MA (United States)]"",""Shi, Zhe [Massachusetts Inst. of Technology (MIT), Cambridge, MA (United States)]"",""Ren, Yang [Argonne National Lab. (ANL), Argonne, IL (United States). Advanced Photon Source (APS)]"",""Lee, Jinhyuk [Massachusetts Inst. of Technology (MIT), Cambridge, MA (United States)]"",""Chang, Jeng‐Kuei [National Chiao Tung Univ., Hsinchu (Taiwan)]"",""Fugetsu, Bunshi [Univ. of Tokyo (Japan)]"",""Li, Ju [Massachusetts Inst. of Technology (MIT), Cambridge, MA (United States)] (ORCID:0000000278418058)""",2021-08-04T00:00:00Z,"""Argonne National Lab. (ANL), Argonne, IL (United States). Advanced Photon Source (APS)""",Journal Article,Accepted Manuscript,Advanced Materials
"""Fleming, Elizabeth S. [Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)]"",""Williams, Adam D. [Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)]""",2021-10-06T00:00:00Z,"""Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)""",Journal Article,Accepted Manuscript,INSIGHT
"""Hellfeld, Daniel [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Bandstra, Mark S. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Vavrek, Jayson R. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Gunter, Donald L. [Gunter Physics, Inc., Lisle, IL (United States)]"",""Curtis, Joseph C. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Salathe, Marco [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Pavlovsky, Ryan [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Negut, Victor [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Barton, Paul J. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Cates, Joshua W. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Quiter, Brian J. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Cooper, Reynold J. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]"",""Vetter, Kai [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division; Univ. of California, Berkeley, CA (United States)]"",""Joshi, Tenzing Y. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Nuclear Science Division]""",2021-10-15T00:00:00Z,"""Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)""",Journal Article,Accepted Manuscript,Scientific Reports
"""Kaplan, Daniel I."",""Smith, Ronald"",""Parker, Connor J."",""Baker, Matthew"",""Cabrera, Tristan"",""Ferguson, Brennan O."",""Kemner, Kenneth M."",""Laird, Michael"",""Logan, Christina"",""Lott, Jeffry""",2021-08-20T00:00:00Z,"""Argonne National Lab. (ANL), Argonne, IL (United States)""",Journal Article,,ACS Earth and Space Chemistry
"""Donald, Scott B. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""Stanford, Jeff A. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""Talbot, William A. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""Saw, Cheng K. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""Chung, Brandon W. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""McLean, W. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]""",2021-10-30T00:00:00Z,"""Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)""",Journal Article,Accepted Manuscript,Corrosion Science
"""Kuzovnikov, Mikhail A. [Institute of Solid State Physics RAS, Moscow (Russia); Univ. of Edinburgh, Scotland (United Kingdom)]"",""Antonov, Vladimir E. [Institute of Solid State Physics RAS, Moscow (Russia); National Research Univ., Moscow (Russia)]"",""Hansen, Thomas [Institut Laue-Langevin, Grenoble (France)]"",""Ivanov, Alexandre S. [Institut Laue-Langevin, Grenoble (France)]"",""Kolesnikov, Alexander I. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)] (ORCID:0000000319404649)"",""Kulakov, Valery I. [Institute of Solid State Physics RAS, Moscow (Russia)]"",""Muzalevsky, Vitaly D. [Institute of Solid State Physics RAS, Moscow (Russia)]"",""Savvin, Stanislav [Institut Laue-Langevin, Grenoble (France)]"",""Tkacz, Marek [Institute of Physical Chemistry PAS, Warsaw (Poland)]""",2021-10-10T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Journal of Alloys and Compounds
"""Baskaran, Arun [Rensselaer Polytechnic Institute]"",""Kautz, Elizabeth J. [BATTELLE (PACIFIC NW LAB)]"",""Chowdhury, Aritra [General Electric Research Center]"",""Ma, Wufei [Rensselaer Polytechnic Institute]"",""Yener, Bulent [Rensselaer Polytechnic Institute]"",""Lewis, Daniel J. [Rensselaer Polytechnic Institute]""",2021-11-15T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,,"JOM. The Journal of the Minerals, Metals and Materials Society"
"""Degteva, Marina O. [Urals Research Center for Radiation Medicine, Chelyabinsk (Russia)]"",""Tolstykh, Evgenia I. [Urals Research Center for Radiation Medicine, Chelyabinsk (Russia)]"",""Shishkina, Elena A. [Urals Research Center for Radiation Medicine, Chelyabinsk (Russia); Chelyabinsk State Univ. (Russia)]"",""Sharagin, Pavel A. [Urals Research Center for Radiation Medicine, Chelyabinsk (Russia)] (ORCID:0000000214574916)"",""Zalyapin, Vladimir I. [South Urals State Univ., Chelyabinsk (Russia)] (ORCID:0000000169816305)"",""Volchkova, Alexandra Yu. [Urals Research Center for Radiation Medicine, Chelyabinsk (Russia)]"",""Smith, Michael A. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Napier, Bruce A. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000275304151)""",2021-10-14T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Accepted Manuscript,PLoS ONE
"""Dion, Michael P. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)] (ORCID:0000000230300050)"",""Worrall, Louise G. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)] (ORCID:000000031315700X)"",""Croft, Stephen [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)]"",""Scott, Logan M. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)]""",2021-11-20T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Technical Report,,
"""Tse, Poki [Pacific Northwest National Lab. (PNNL), Richland, WA (United States); Colorado School of Mines, Golden, CO (United States)] (ORCID:0000000329019509)"",""Shafer, Jenifer [Colorado School of Mines, Golden, CO (United States)] (ORCID:0000000197021534)"",""Bryan, Samuel A. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000288260880)"",""Lines, Amanda M. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]""",2021-09-16T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Accepted Manuscript,Environmental Science and Technology
"""Eidelpes, Elmar Ferdinand [Idaho National Laboratory] (ORCID:0000000215850775)"",""Sindelar, Robert [Savannah River National Laboratory]"",""Jarrell, Josh J [Idaho National Laboratory]""",2021-12-16T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Technical Report,,
"""Kruk, Izabela Iwona [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000168515172)"",""Watkins, Erik Benjamin [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000185739629)"",""Scott, Brian Lindley [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000304685396)"",""Wolfsberg, Laura Evon [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000199405371)""",2021-08-11T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)""",Journal Article,Accepted Manuscript,Thin Solid Films
"""Johnson, T. C. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000300163523)"",""Burghardt, J. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000212269782)"",""Strickland, C. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Knox, H. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Vermeul, V. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""White, M. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000275668027)"",""Schwering, P. [Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)]"",""Blankenship, D. [Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)]"",""Kneafsey, T. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)] (ORCID:0000000239268587)""",2021-10-08T00:00:00Z,"""Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)""",Journal Article,Accepted Manuscript,Journal of Geophysical Research. Solid Earth
"""Kmak, Kelly N. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)] (ORCID:0000000316387169)"",""Despotopulos, John D. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""Scielzo, Nicholas D. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]""",2021-09-18T00:00:00Z,"""Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)""",Journal Article,Accepted Manuscript,Journal of Radioanalytical and Nuclear Chemistry
"""Olson, A. P."",""Kalimullah, M.""",2022-01-01T00:00:00Z,"""Argonne National Lab. (ANL), Argonne, IL (United States)""",Technical Report,,
